case_id,case_type,question,reference_parent_indexes,dense_parent_indexes,dense_scores,dense_hit,dense_mrr,dense_latency_ms,sparse_parent_indexes,sparse_scores,sparse_hit,sparse_mrr,sparse_latency_ms,hybrid_parent_indexes,hybrid_scores,hybrid_hit,hybrid_mrr,hybrid_latency_ms,hybrid_rerank_parent_indexes,hybrid_rerank_scores,hybrid_rerank_hit,hybrid_rerank_mrr,hybrid_rerank_latency_ms
rag_pos_011,reasoning,相比 N-gram，神经语言模型好在哪里，又有什么代价？,[3],"[2, 3, 9, 1]","[0.71085, 0.673501, 0.629066, 0.594085]",1.0,0.5,339.388,"[2, 9, 3, 1]","[0.305488, 0.285763, 0.236565, 0.232848]",1.0,0.3333333333333333,339.388,"[2, 9, 3, 1]","[1.108714, 1.090756, 1.090427, 1.071607]",1.0,0.3333333333333333,339.388,"[3, 2]","[0.795628, 0.621232]",1.0,1.0,6338.538
rag_pos_012,paraphrase,Transformer 预训练语言模型的优势是什么？,[3],"[3, 4, 0]","[0.701091, 0.579877, 0.574321]",1.0,1.0,391.75,"[3, 0, 4]","[0.325788, 0.277177, 0.196925]",1.0,1.0,391.75,"[3, 0, 4]","[1.114808, 1.07619, 0.667269]",1.0,1.0,391.75,"[3, 4]","[0.99792, 0.969738]",1.0,1.0,4990.9
rag_pos_013,direct,语言模型中的 Scaling Law 是什么意思？,[4],"[4, 1, 9]","[0.642402, 0.568953, 0.55173]",1.0,1.0,443.858,"[4, 0, 1]","[0.150836, 0.128226, 0.124354]",1.0,1.0,443.858,"[4, 1, 9]","[1.065117, 1.042221, 0.660483]",1.0,1.0,443.858,"[4, 1]","[0.915175, 0.074018]",1.0,1.0,5060.005
rag_pos_014,fact,GPT-3 有多少参数？,[4],"[4, 0, 3, 5]","[0.648569, 0.494044, 0.470532, 0.43176]",1.0,1.0,470.224,"[4, 0, 2]","[0.234135, 0.178398, 0.070708]",1.0,1.0,470.224,"[4, 0, 3, 5]","[1.084392, 1.0354, 0.639992, 0.629737]",1.0,1.0,470.224,"[4, 0]","[0.97451, 0.296451]",1.0,1.0,6343.208
rag_pos_015,paraphrase,什么叫大模型的能力涌现？,[4],"[4, 1, 0, 3]","[0.723118, 0.53105, 0.518831, 0.508883]",1.0,1.0,398.806,"[4, 0, 1]","[0.284029, 0.147917, 0.135341]",1.0,1.0,398.806,"[4, 1, 0, 3]","[1.110948, 1.035366, 1.035064, 0.649838]",1.0,1.0,398.806,"[4, 1]","[0.818669, 0.272552]",1.0,1.0,6436.594
rag_pos_016,direct,BLEU 指标主要衡量什么？,[4],"[4, 7, 6]","[0.650661, 0.61694, 0.593888]",1.0,1.0,360.53,"[4, 6, 7, 8]","[0.215997, 0.123861, 0.08747, 0.086074]",1.0,1.0,360.53,"[4, 7, 6]","[1.081013, 1.045396, 1.040062]",1.0,1.0,360.53,"[4, 6]","[0.977872, 0.476255]",1.0,1.0,4764.74
rag_pos_017,reasoning,BLEU 为什么要限制重复词的匹配次数？,[5],"[5, 4, 6]","[0.584714, 0.566249, 0.537155]",1.0,1.0,450.349,"[5, 4, 8]","[0.207981, 0.160835, 0.128379]",1.0,1.0,450.349,"[5, 4, 6]","[1.064109, 1.049536, 0.656904]",1.0,1.0,450.349,"[4, 5]","[0.074553, 0.053551]",1.0,0.5,4993.329
rag_pos_018,direct,BLEU 的 2-gram、3-gram、4-gram 匹配是在做什么？,[5],"[6, 4, 5]","[0.661799, 0.574671, 0.562739]",1.0,0.3333333333333333,501.091,"[5, 4]","[0.176769, 0.161635]",1.0,1.0,501.091,"[5, 4, 6]","[1.052141, 1.051733, 0.686092]",1.0,1.0,501.091,"[5, 6]","[0.98176, 0.658623]",1.0,1.0,4964.825
rag_pos_019,direct,ROUGE 是什么指标？,[6],"[6, 8]","[0.690882, 0.59124]",1.0,1.0,417.102,"[6, 8, 7]","[0.362998, 0.28473, 0.103947]",1.0,1.0,417.102,"[6, 8]","[1.12003, 1.08177]",1.0,1.0,417.102,"[6, 8]","[0.992445, 0.941735]",1.0,1.0,3591.254
rag_pos_020,reasoning,ROUGE 和 BLEU 的侧重点有什么不同？,[6],"[6, 4, 7]","[0.55245, 0.515227, 0.49976]",1.0,1.0,429.969,"[6, 8, 4]","[0.226019, 0.167873, 0.121187]",1.0,1.0,429.969,"[6, 4, 7]","[1.060187, 1.028309, 0.647522]",1.0,1.0,429.969,"[6, 4]","[0.961129, 0.106103]",1.0,1.0,4818.98
rag_pos_021,direct,ROUGE-1、ROUGE-2、ROUGE-L、ROUGE-S 分别属于什么？,"[6, 8]","[6, 8]","[0.54318, 0.524565]",1.0,1.0,503.53,"[6, 8, 1]","[0.252325, 0.232565, 0.048093]",1.0,1.0,503.53,"[6, 8]","[1.063461, 1.054692]",1.0,1.0,503.53,"[8, 6]","[0.904268, 0.57271]",1.0,1.0,3503.979
rag_pos_022,direct,困惑度 PPL 用来衡量什么？,[8],"[8, 9, 4]","[0.69347, 0.569004, 0.479187]",1.0,1.0,413.247,"[8, 9, 4]","[0.244074, 0.142472, 0.086612]",1.0,1.0,413.247,"[8, 9, 4]","[1.096342, 1.042671, 1.01149]",1.0,1.0,413.247,"[8, 9]","[0.985147, 0.026665]",1.0,1.0,4684.95
rag_pos_023,hard_paraphrase,PPL 越大说明语言模型越好吗？,[9],"[4, 8, 1, 9]","[0.666458, 0.645003, 0.639532, 0.626839]",1.0,0.25,518.208,"[8, 1, 0, 9, 4]","[0.221128, 0.201134, 0.191189, 0.18478, 0.17566]",1.0,0.25,518.208,"[8, 4, 1, 9]","[1.080836, 1.075866, 1.075338, 1.068941]",1.0,0.25,518.208,"[9, 8]","[0.87312, 0.580289]",1.0,1.0,6455.034
rag_pos_024,reasoning,句子概率、模型质量和困惑度之间是什么关系？,"[8, 9]","[8, 9, 1]","[0.652527, 0.639216, 0.627307]",1.0,1.0,441.956,"[8, 1, 9]","[0.291595, 0.250018, 0.236177]",1.0,1.0,441.956,"[8, 1, 9]","[1.09725, 1.082924, 1.082718]",1.0,1.0,441.956,"[9, 8]","[0.99693, 0.513166]",1.0,1.0,5060.36
rag_neg_001,hard_negative,这个项目的 Milvus nprobe 配置是多少？,[],"[8, 4, 5, 3]","[0.42507, 0.408291, 0.404769, 0.393693]",,,463.712,"[6, 1, 5]","[0.007818, 0.006025, 0.006022]",,,463.712,"[8, 4, 5, 3]","[0.627938, 0.623387, 0.622425, 0.619385]",,,463.712,"[4, 3]","[9e-05, 8.7e-05]",,,6298.292
rag_neg_002,hard_negative,BGE-M3 的稠密向量维度是多少？,[],"[4, 6, 3]","[0.442842, 0.427314, 0.370477]",,,430.167,"[8, 6, 3]","[0.1087, 0.080605, 0.056719]",,,430.167,"[3, 4, 6]","[0.97556, 0.632699, 0.628543]",,,430.167,"[3, 6]","[0.000285, 9.5e-05]",,,4975.617
rag_neg_003,hard_negative,RAG 父块和子块分别切多大？,[],"[6, 8, 4]","[0.3727, 0.349396, 0.338648]",,,372.976,"[4, 9, 1]","[0.038644, 0.03115, 0.030835]",,,372.976,"[4, 6, 8]","[0.962543, 0.613558, 0.606996]",,,372.976,"[8, 6]","[9.3e-05, 9.1e-05]",,,4468.966
rag_neg_004,hard_negative,课程学费是多少钱？,[],"[4, 5, 2, 6]","[0.444482, 0.43619, 0.42765, 0.417036]",,,324.154,"[6, 1, 2]","[0.007256, 0.00404, 0.00373]",,,324.154,"[6, 4, 5, 2]","[0.977383, 0.633135, 0.630924, 0.628633]",,,324.154,"[4, 6]","[9.3e-05, 7.8e-05]",,,6228.082
rag_neg_005,hard_negative,DeepSeek API 当前每百万 token 的价格是多少？,[],"[4, 5, 8, 3]","[0.445574, 0.412967, 0.384253, 0.373397]",,,543.015,"[2, 3, 6, 1]","[0.021211, 0.019547, 0.006006, 0.002553]",,,543.015,"[4, 5, 8, 3]","[0.633425, 0.624661, 0.616775, 0.613753]",,,543.015,"[4, 8]","[9.6e-05, 9.1e-05]",,,6669.102
